Id;Label;Attribute;Country
1;ARS;NaN;Argentina
2;AUD;NaN;Australia
3;ATS;NaN;Austria
4;BEF;NaN;Belgium
5;BRL;NaN;Brazil
6;GBP;NaN;British
7;BGN;NaN;Bulgaria
8;CAD;NaN;Canada
9;CLP;NaN;Chili
10;CNY;NaN;China
11;COP;NaN;Colombia
12;HRK;NaN;Croatia
13;CYP;NaN;Cyprus
14;CZK;NaN;Czech Republic
15;DKK;NaN;Denmark
16;NLG;NaN;Netherlands
17;EEK;NaN;Estonia
18;EUR;NaN;Europe
19;FIM;NaN;Finland
20;FRF;NaN;France
21;DEM;NaN;Germany
22;GRD;NaN;Greece
23;HKD;NaN;Hongkong
24;HUF;NaN;Hungary
25;ISK;NaN;Iceland
26;INR;NaN;India
27;IDR;NaN;Indonesia
28;IEP;NaN;Ireland
29;ILS;NaN;Israel
30;ITL;NaN;Italy
31;JPY;NaN;Japan
32;LUF;NaN;Luxembourg
33;MYR;NaN;Malaysia
34;MTL;NaN;Malta
35;MXN;NaN;Mexico
36;NZD;NaN;New Zealand
37;NOK;NaN;Norway
38;PKR;NaN;Pakistan
39;PEN;NaN;Peru
40;PHP;NaN;Philippines
41;XPT;NaN;Platinum Ounce
42;PLN;NaN;Polish
43;PTE;NaN;Portugal
44;RON;NaN;Romania
45;RUB;NaN;Russia
46;SAR;NaN;Saudi Arabia
47;SGD;NaN;Singapore
48;SKK;NaN;Slovakia
49;SIT;NaN;Slovenia
50;ZAR;NaN;South Africa
51;KRW;NaN;South Korea
52;ESP;NaN;Spain
53;XDR;NaN;Special drawing rights
54;SEK;NaN;Sweden
55;CHF;NaN;Swiss
56;TWD;NaN;Taiwan
57;THB;NaN;Thailand
58;TRY;NaN;Turkey
